Species,Sample,Value
Bacteria Unclassified,Tuss1-16S-T4,16.00790514
Bacteria Unclassified,Tuss2-16S-T4,14.8399612
Bacteria Unclassified,Tuss3-16S-T4,14.89741302
Bacteria Unclassified,WS1-16S-T0,31.10497238
Bacteria Unclassified,WS2-16S-T0,32.16583274
Bacteria Unclassified,WS3-16S-T0,27.59803922
Bacteria Unclassified,WS1-16S-T24,28.60944777
Bacteria Unclassified,WS2-16S-T24,30.05299016
Bacteria Unclassified,WS3-16S-T24,26.94271129
Bacteria Unclassified,WS1-16S-T4,28.30769231
Bacteria Unclassified,WS2-16S-T4,32.42320819
Bacteria Unclassified,WS3-16S-T4,26.90870262
Bacteria Other,Tuss1-16S-T0,8.831400535
Bacteria Other,Tuss2-16S-T0,7.829181495
Bacteria Other,Tuss3-16S-T0,8.656716418
Bacteria Other,Tuss1-16S-T24,9.188741722
Bacteria Other,Tuss2-16S-T24,7.453416149
Bacteria Other,Tuss3-16S-T24,9.965337955
Bacteria Other,Tuss1-16S-T4,9.156785244
Bacteria Other,Tuss2-16S-T4,7.274490786
Bacteria Other,Tuss3-16S-T4,7.850133809
Bacteria Other,WS1-16S-T0,4.53038674
Bacteria Other,WS2-16S-T0,5.003573981
Bacteria Other,WS3-16S-T0,4.166666667
Bacteria Other,WS1-16S-T24,4.457751164
Bacteria Other,WS2-16S-T24,4.390613172
Bacteria Other,WS3-16S-T24,3.573454339
Bacteria Other,WS1-16S-T4,4.461538462
Bacteria Other,WS2-16S-T4,5.034129693
Bacteria Other,WS3-16S-T4,4.32461292
Archaea,Tuss1-16S-T0,0.089206066
Archaea,Tuss2-16S-T0,0.088967972
Archaea,Tuss3-16S-T0,0
Archaea,Tuss1-16S-T24,0
Archaea,Tuss2-16S-T24,0.088731145
Archaea,Tuss3-16S-T24,0
Archaea,Tuss1-16S-T4,0
Archaea,Tuss2-16S-T4,0.09699321
Archaea,Tuss3-16S-T4,0
Archaea,WS1-16S-T0,1.436464088
Archaea,WS2-16S-T0,1.644031451
Archaea,WS3-16S-T0,0.980392157
Archaea,WS1-16S-T24,2.129075183
Archaea,WS2-16S-T24,1.211203634
Archaea,WS3-16S-T24,0.340328985
Archaea,WS1-16S-T4,1.615384615
Archaea,WS2-16S-T4,1.877133106
Archaea,WS3-16S-T4,0.747463962
Fungi,Tuss1-16S-T0,0
Fungi,Tuss2-16S-T0,0
Fungi,Tuss3-16S-T0,0
Fungi,Tuss1-16S-T24,0
Fungi,Tuss2-16S-T24,0
